"id","category_code","category_name","category_name_cn","category_full_name_cn","parent_category_code","level","serial_number","remarks","create_user","create_time","modify_user","modify_time","del_stat","version_no"
"80","1095530200000009","affect","影响","关系/事-组织/影响","1095530000000003","3","4",NULL,"test_user","2023-04-10 18:15:34","admin","2024-06-14 08:28:07","0","0"
"81","109553030000000c","disposal","处置","关系/组织-事/处置","1095530000000003","3","1",NULL,"test_user","2023-04-10 18:15:34","admin","2024-01-24 00:08:29","0","0"
"82","1095530400000002","supervision","监管","关系/组织-事/监管","1095530000000003","3","2",NULL,"test_user","2023-04-10 18:15:34","admin","2024-01-24 00:08:29","0","0"
"83","1095540100000007","production","生产","关系/组织-物/生产","1095540000000004","3","999",NULL,"test_user","2023-04-10 18:15:34","test_user","2024-01-24 00:08:29","0","0"
"84","109554020000000a","have","拥有","关系/组织-物/拥有","1095540000000004","3","999",NULL,"test_user","2023-04-10 18:15:34","test_user","2024-01-24 00:08:29","0","0"
"86","1095540400000003","management","管理","关系/组织-物/管理","1095540000000004","3","999",NULL,"test_user","2023-04-10 18:15:34","test_user","2024-01-24 00:08:29","0","0"
"87","1095540500000006","maintenance","维护","关系/组织-物/维护","1095540000000004","3","999",NULL,"test_user","2023-04-10 18:15:34","test_user","2024-01-24 00:08:29","0","0"
"88","1095540600000009","design","设计","关系/组织-物/设计","1095540000000004","3","999",NULL,"test_user","2023-04-10 18:15:35","test_user","2024-01-24 00:08:29","0","0"
"89","109554070000000c","use","使用","关系/组织-物/使用","1095540000000004","3","999",NULL,"test_user","2023-04-10 18:15:35","test_user","2024-01-24 00:08:29","0","0"
"90","1095550100000008","manage","下辖","关系/组织-组织/下辖","1095550000000005","3","999",NULL,"test_user","2023-04-10 18:15:35","admin","2024-05-18 14:33:39","0","0"
"92","1095550300000001","jurisdiction","指导","关系/组织-组织/指导","1095550000000005","3","999",NULL,"test_user","2023-04-10 18:15:35","admin","2024-05-14 12:20:03","0","0"
"93","1095550400000004","collaboration","协作","关系/组织-组织/协作","1095550000000005","3","999",NULL,"test_user","2023-04-10 18:15:35","test_user","2024-01-24 00:08:29","0","0"
"94","1095550500000007","competition","竞争","关系/组织-组织/竞争","1095550000000005","3","999",NULL,"test_user","2023-04-10 18:15:35","test_user","2024-01-24 00:08:29","0","0"
"95","109524010000000b","space","空间","关系/物-地/空间","1095240000000008","3","2",NULL,"test_user","2023-04-17 14:58:59","guochengjie","2025-02-13 21:31:02","0","0"
"96","1095240200000001","bear","承载","关系/地-物/承载","1095240000000008","3","0",NULL,"test_user","2023-04-17 14:58:59","guochengjie","2024-01-24 00:08:29","0","0"
"97","1095240300000004","service","服务","关系/地-物/服务","1095240000000008","3","999",NULL,"test_user","2023-04-17 14:58:59","admin","2024-01-24 00:08:29","1","0"
"99","1095220400000005","bear","承载","关系/地-地/承载","1095220000000006","3","999",NULL,"test_user","2023-04-10 18:15:32","test_user","2024-01-24 00:08:29","0","0"
"100","1095440500000003","sense","感知","关系/物-物/感知","1095440000000001","3","999",NULL,"test_user","2023-04-10 18:15:33","test_user","2024-01-24 00:08:29","0","0"
"101","1095130500000006","influence","影响","关系/事-人/影响","1095130000000004","3","999",NULL,"test_user","2023-08-14 23:55:20","admin","2024-06-14 08:22:49","0","0"
"102","1095530500000005","manufacture","制造","关系/组织-事/制造","1095530000000003","3","3",,"zstx","2023-12-07 01:00:39","admin","2024-01-24 00:08:29","0","0"
"103","1055010000000008","user_individual","人（个体）","实体/人/个体","105101000000000b","3","999",NULL,"test_user","2023-12-17 07:22:18","test_user","2024-11-06 17:03:20","1","0"
"104","1055020000000009","region_individual","地（个体）","实体/地/个体","105102000000000c","3","999","物和地的区别在于是否可移动（但并不一定要动）","test_user","2023-12-17 07:22:18","admin","2024-11-06 17:03:20","1","0"
"105","105503000000000a","event_individual","事（个体）","实体/事/个体","1051030000000000","3","999",NULL,"test_user","2023-12-17 07:22:18","test_user","2024-11-06 17:03:20","1","0"
"106","105504000000000b","object_individual","物（个体）","实体/物/个体","1051040000000001","3","999","物和地的区别在于是否可移动（但并不一定要动）","test_user","2023-12-17 07:22:18","admin","2024-11-06 17:03:20","1","0"
"107","105505000000000c","organization_individual","组织（个体）","实体/组织/个体","1051050000000002","3","999",NULL,"test_user","2023-12-17 07:22:18","test_user","2024-11-06 17:03:20","1","0"
"108","1059010000000005","user_group","人（群体）","实体/人/群体","105101000000000b","3","999",NULL,"test_user","2023-12-17 07:22:18","test_user","2024-11-06 17:03:20","1","0"
"109","1059020000000006","region_group","地（群体）","实体/地/群体","105102000000000c","3","999","物和地的区别在于是否可移动（但并不一定要动）","test_user","2023-12-17 07:22:18","test_user","2024-11-06 17:03:20","1","0"
"110","1059030000000007","event_group","事（群体）","实体/事/群体","1051030000000000","3","999",NULL,"test_user","2023-12-17 07:22:18","test_user","2024-11-06 17:03:20","1","0"
"111","1059040000000008","object_group","物（群体）","实体/物/群体","1051040000000001","3","999","物和地的区别在于是否可移动（但并不一定要动）","test_user","2023-12-17 07:22:18","test_user","2024-11-06 17:03:20","1","0"
"112","1059050000000009","organization_group","组织（群体）","实体/组织/群体","1051050000000002","3","999",NULL,"test_user","2023-12-17 07:22:18","test_user","2024-11-06 17:03:20","1","0"
"116","1095110900000003","intention","意向","关系/人-人/意向","1095110000000002","3","999",,"admin","2024-01-16 16:12:04","admin","2024-04-22 14:15:18","1","0"
"118","109513070000000c","intention","意向","关系/人-事/意向","1095130000000004","3","999",,"admin","2024-01-16 16:12:29","admin","2024-04-22 14:15:18","1","0"
"134","109515060000000b","intention","意向","关系/人-组织/意向","1095150000000006","3","999",,"admin","2024-01-16 21:13:22","admin","2024-04-22 14:15:18","1","0"
"138","1095140900000006","intention","意向","关系/人-物/意向","1095140000000005","3","999",,"admin","2024-01-16 22:37:06","admin","2024-04-22 14:15:18","1","0"
"139","1095120900000004","intention","意向","关系/人-地/意向","1095120000000003","3","999",,"admin","2024-01-18 17:13:53","admin","2024-04-22 14:15:18","1","0"
"425","1095140a00000009","effect","影响","关系/物-人/影响","1095140000000005","3","9",,"admin","2024-04-15 17:48:44","guochengjie","2024-06-14 08:23:34","0","0"
"426","1095110a00000006","kinship","亲属","关系/人-人/亲属","1095110000000002","3","999",,"admin","2024-04-23 11:41:00","system_user","2024-04-23 11:41:00","0","0"
"427","1095110b00000009","friend","朋友","关系/人-人/朋友","1095110000000002","3","999",,"admin","2024-04-23 12:08:57","system_user","2024-04-23 12:08:57","0","0"
"428","1095140b0000000c","transfer","出让","关系/人-物/出让","1095140000000005","3","6",,"admin","2024-04-23 12:25:43","guochengjie","2024-04-23 12:37:05","0","0"
"429","1095120a00000007","transfer","出让","关系/人-地/出让","1095120000000003","3","999",,"admin","2024-04-23 12:36:58","system_user","2024-04-23 12:36:58","0","0"
"430","1095110c0000000c","trade","交易","关系/人-人/交易","1095110000000002","3","999",,"admin","2024-04-23 12:37:26","system_user","2024-04-23 12:37:26","0","0"
"431","1095540800000002","transfer","出让","关系/组织-物/出让","1095540000000004","3","999",,"admin","2024-04-23 12:38:25","system_user","2024-04-23 12:38:25","0","0"
"432","109552070000000a","transfer","出让","关系/组织-地/出让","1095520000000002","3","999",,"admin","2024-04-23 12:38:49","system_user","2024-04-23 12:38:49","0","0"
"433","109555060000000a","trade","交易","关系/组织-组织/交易","1095550000000005","3","999",,"admin","2024-04-23 12:39:00","system_user","2024-04-23 12:39:00","0","0"
"434","1095150700000001","trade","交易","关系/人-组织/交易","1095150000000006","3","4",,"admin","2024-04-23 13:00:03","admin","2024-04-23 13:00:03","0","0"
"435","1095440600000006","associated","关联","关系/物-物/关联","1095440000000001","3","999",,"admin","2024-05-14 14:43:51","admin","2024-05-14 14:45:19","0","0"
"436","1095150800000004","declare","申报","关系/人-组织/申报","1095150000000006","3","5",,"admin","2024-05-18 15:18:16","admin","2024-05-18 15:18:16","0","0"
"437","1095550700000000","declare","申报","关系/组织-组织/申报","1095550000000005","3","999",,"admin","2024-05-18 15:32:24","system_user","2024-05-18 15:32:24","0","0"
"438","1095150900000007","jurisdiction","管辖","关系/组织-人/管辖","1095150000000006","3","6",,"admin","2024-06-14 08:39:21","qidekang","2024-06-14 13:44:52","0","0"
"439","1095150a0000000a","service","服务","关系/组织-人/服务","1095150000000006","3","9",,"admin","2024-06-14 08:39:51","qidekang","2024-06-14 08:39:51","0","0"
"440","1095150b00000000","education","教育","关系/组织-人/教育","1095150000000006","3","7",,"qidekang","2024-06-25 13:12:07","qidekang","2024-06-25 13:12:07","0","0"
"441","1095240400000007","associated","关联","关系/地-物/关联","1095240000000008","3","1",,"qidekang","2024-08-11 23:42:00","guochengjie","2024-08-11 23:42:00","0","0"
"442","1095520800000000","management","经营","关系/组织-地/经营","1095520000000002","3","999",,"qidekang","2025-02-13 10:18:35","system_user","2025-02-13 10:18:35","0","0"
"443","1095140c00000002","sensation","感知","关系/人-物/感知","1095140000000005","3","7","人对物的感知","guochengjie","2025-02-13 14:13:25","guochengjie","2025-02-13 14:13:25","0","0"
"444","109524050000000a","perception","感知","关系/物-地/感知","1095240000000008","3","3","物对地的感知，如空气传感器等","guochengjie","2025-02-13 14:16:10","guochengjie","2025-02-13 14:16:10","0","0"
