,id,statement_code,category_code,statement_content,direction_code,parent_statement_code,attributes,statement_level,serial_number,create_user,create_time,modify_user,modify_time,del_stat,version_no
45,709,1096520310001004,109552030000000b,国有土地,109552031000000c,109552031000000c,,1,999,zstx,2023-11-30 08:29:21,system_user,2024-01-21 14:26:09,0,0
46,710,1096520310002000,109552030000000b,集体土地,109552031000000c,109552031000000c,,1,999,zstx,2023-11-30 08:29:29,system_user,2024-01-21 14:26:09,0,0
47,711,1096520320001005,109552030000000b,土地归属单位,1095520320000000,1095520320000000,,1,999,zstx,2023-11-30 08:29:53,zstx,2024-01-21 14:26:09,0,0
48,712,1096520310003009,109552030000000b,公司房产,109552031000000c,109552031000000c,,1,999,zstx,2023-11-30 08:30:39,system_user,2024-01-21 14:26:09,0,0
49,713,1096520310004005,109552030000000b,单位房产,109552031000000c,109552031000000c,,1,999,zstx,2023-11-30 08:30:52,system_user,2024-01-21 14:26:09,0,0
50,714,1096520320002001,109552030000000b,房产归属公司,1095520320000000,1095520320000000,,1,999,zstx,2023-11-30 08:31:07,zstx,2024-01-21 14:26:09,0,0
51,740,1096530210001002,1095530200000009,受益组织,109553021000000a,109553021000000a,,1,999,zstx,2023-11-30 08:37:46,developuser,2024-01-21 14:26:09,1,0
52,741,109653021000200b,1095530200000009,受害组织,109553021000000a,109553021000000a,,1,999,zstx,2023-11-30 08:37:56,system_user,2024-01-21 14:26:09,0,0
53,742,1096530210003007,1095530200000009,波及对象,109553021000000a,109553021000000a,,1,999,zstx,2023-11-30 08:38:08,system_user,2024-01-21 14:26:09,0,0
54,743,1096530220001003,1095530200000009,负面新闻,109553022000000b,109553022000000b,,1,999,zstx,2023-11-30 08:38:18,guochengjie,2024-01-21 14:26:09,1,0
55,744,109653022000200c,1095530200000009,媒体报道,109553022000000b,109553022000000b,,1,999,zstx,2023-11-30 08:38:26,qidekang,2024-01-21 14:26:09,1,0
56,745,1096530220003008,1095530200000009,负面舆情,109553022000000b,109553022000000b,,1,999,zstx,2023-11-30 08:38:38,system_user,2024-01-21 14:26:09,0,0
57,794,109611011000100b,1095110100000005,客户,1095110110000006,1095110110000006,顾客，咨询者,1,999,zstx,2023-12-03 13:26:52,guochengjie,2024-01-21 14:26:09,0,0
58,795,1096110110002007,1095110100000005,就诊患者,1095110110000006,1095110110000006,,1,999,zstx,2023-12-03 13:27:02,system_user,2024-01-21 14:26:09,0,0
59,796,109611012000100c,1095110100000005,法律顾问,1095110120000007,1095110120000007,,1,0,zstx,2023-12-03 13:27:15,guochengjie,2024-01-21 14:26:09,0,0
60,797,1096110120002008,1095110100000005,代理中介,1095110120000007,1095110120000007,,1,1,zstx,2023-12-03 13:27:35,guochengjie,2024-01-21 14:26:09,0,0
61,798,1096110120003004,1095110100000005,治疗医师,1095110120000007,1095110120000007,,1,2,zstx,2023-12-03 13:29:04,guochengjie,2024-01-21 14:26:09,0,0
62,800,1096150203001005,109515020000000c,被执行人员,000215020305c,000215020305c,,1,999,zstx,2023-12-03 13:34:04,zstx,2024-12-11 19:03:04,1,0
63,801,1096150203001005,109515020000000c,执法单位,0002150203060,0002150203060,,1,999,zstx,2023-12-03 13:34:38,system_user,2024-12-11 19:03:04,1,0
64,807,109611051000100a,1095110500000004,学生学徒,1095110510000005,1095110510000005,,1,0,zstx,2023-12-03 13:39:47,qidekang,2024-01-21 14:26:09,0,0
65,808,109611052000100b,1095110500000004,指导教师,1095110520000006,1095110520000006,,1,0,zstx,2023-12-03 13:39:55,qidekang,2024-01-21 14:26:09,0,0
66,809,1096110810001006,1095110800000000,养子养女,1095110810000001,1095110810000001,,1,999,zstx,2023-12-03 13:41:53,system_user,2024-04-29 08:30:00,1,0
67,810,1096110820001007,1095110800000000,养父养母,1095110820000002,1095110820000002,,1,999,zstx,2023-12-03 13:42:00,system_user,2024-04-29 08:30:00,1,0
68,811,109612011000100c,1095120100000006,家庭住址,1095120110000007,1095120110000007,,1,0,zstx,2023-12-03 13:44:33,qidekang,2024-01-21 14:26:09,0,0
